Timestamp URL HTTP_Status TimeTaken_ms RawContentLength Content
2021-06-14-04:07:59 https://mycw60.eclinicalweb.com/portal7650/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:07:59 https://mycw60.eclinicalweb.com/portal7635/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:00 https://mycw60.eclinicalweb.com/portal7636/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:00 https://mycw60.eclinicalweb.com/portal7708/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:00 https://mycw60.eclinicalweb.com/portal7646/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:01 https://mycw60.eclinicalweb.com/portal7660/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:01 https://mycw60.eclinicalweb.com/portal7780/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:02 https://mycw60.eclinicalweb.com/portal7743/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:02 https://mycw60.eclinicalweb.com/portal7647/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:02 https://mycw60.eclinicalweb.com/portal7698/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:03 https://mycw60.eclinicalweb.com/portal7783/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:03 https://mycw60.eclinicalweb.com/portal7629/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:03 https://mycw60.eclinicalweb.com/portal7656/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:04 https://mycw60.eclinicalweb.com/portal7615/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:04 https://mycw60.eclinicalweb.com/portal7702/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:04 https://mycw60.eclinicalweb.com/portal7726/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:05 https://mycw60.eclinicalweb.com/portal7624/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:05 https://mycw60.eclinicalweb.com/portal7596/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:05 https://mycw60.eclinicalweb.com/portal7620/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:06 https://mycw60.eclinicalweb.com/portal7723/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:06 https://mycw60.eclinicalweb.com/portal7754/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:06 https://mycw60.eclinicalweb.com/portal7586/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:06 https://mycw60.eclinicalweb.com/portal7609/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:07 https://mycw60.eclinicalweb.com/portal7772/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:07 https://mycw60.eclinicalweb.com/portal7752/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:07 https://mycw60.eclinicalweb.com/portal7742/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:08 https://mycw60.eclinicalweb.com/portal7649/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:08 https://mycw60.eclinicalweb.com/portal7717/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:09 https://mycw60.eclinicalweb.com/portal7732/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:09 https://mycw60.eclinicalweb.com/portal7612/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:09 https://mycw60.eclinicalweb.com/portal7640/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:10 https://mycw60.eclinicalweb.com/portal7607/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:10 https://mycw60.eclinicalweb.com/portal7594/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:10 https://mycw60.eclinicalweb.com/portal7767/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:11 https://mycw60.eclinicalweb.com/portal7625/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:11 https://mycw60.eclinicalweb.com/portal7757/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:11 https://mycw60.eclinicalweb.com/portal7765/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:11 https://mycw60.eclinicalweb.com/portal7711/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:12 https://mycw60.eclinicalweb.com/portal7618/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:12 https://mycw60.eclinicalweb.com/portal7746/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:12 https://mycw60.eclinicalweb.com/portal7645/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:13 https://mycw60.eclinicalweb.com/portal7705/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:13 https://mycw60.eclinicalweb.com/portal7737/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:13 https://mycw60.eclinicalweb.com/portal7687/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:14 https://mycw60.eclinicalweb.com/portal7728/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:15 https://mycw60.eclinicalweb.com/portal7750/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:15 https://mycw60.eclinicalweb.com/portal7748/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:15 https://mycw60.eclinicalweb.com/portal7673/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:16 https://mycw60.eclinicalweb.com/portal7663/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:16 https://mycw60.eclinicalweb.com/portal7706/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:17 https://mycw60.eclinicalweb.com/portal7718/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:17 https://mycw60.eclinicalweb.com/portal7611/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:17 https://mycw60.eclinicalweb.com/portal7785/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:17 https://mycw60.eclinicalweb.com/portal7616/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:18 https://mycw60.eclinicalweb.com/portal7735/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:18 https://mycw60.eclinicalweb.com/portal7597/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:18 https://mycw60.eclinicalweb.com/portal7613/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:19 https://mycw60.eclinicalweb.com/portal7686/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:19 https://mycw60.eclinicalweb.com/portal7610/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:19 https://mycw60.eclinicalweb.com/portal7762/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:20 https://mycw60.eclinicalweb.com/portal7627/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:20 https://mycw60.eclinicalweb.com/portal7638/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:21 https://mycw60.eclinicalweb.com/portal7725/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:21 https://mycw60.eclinicalweb.com/portal7630/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:22 https://mycw60.eclinicalweb.com/portal7666/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:22 https://mycw60.eclinicalweb.com/portal7676/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:22 https://mycw60.eclinicalweb.com/portal7591/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:23 https://mycw60.eclinicalweb.com/portal7602/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:23 https://mycw60.eclinicalweb.com/portal7599/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:23 https://mycw60.eclinicalweb.com/portal7637/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:23 https://mycw60.eclinicalweb.com/portal7675/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:24 https://mycw60.eclinicalweb.com/portal7771/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:24 https://mycw60.eclinicalweb.com/portal7751/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:25 https://mycw60.eclinicalweb.com/portal7699/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
2021-06-14-04:08:25 https://mycw60.eclinicalweb.com/portal7662/jsp/jspnew/CheckDBConnection.jsp 200 0 314 Success
